Subject,Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
X02299,"(1, 4)",-0.0007616277755088316,-0.0007616277755088316,0.06319195405734185,0.03817026423556464,0.03817026423556464,0.009250064280682375
X02299,"(2, 1)",-0.10150456280925897,-0.10150456280925897,0.03540355560212384,-0.043892365030478685,-0.043892365030478685,0.029091435053851453
X02299,"(2, 2)",-0.05561138785110821,-0.05561138785110821,0.0029899953745061367,0.015662317865505992,0.015662317865505992,0.0031606178603223742
X02299,"(2, 3)",-0.007327934218460751,-0.007327934218460751,0.043669340046004305,0.08437578001370033,0.08437578001370033,0.027892520014817516
X02299,"(2, 4)",-0.01262664813779981,-0.01262664813779981,0.017669310000698192,0.05579065503552556,0.05579065503552556,0.005688104964792728
X02299,"(3, 1)",-0.06284848325066522,-0.06284848325066522,0.0,0.019184025120921433,0.019184025120921433,0.0
X02299,"(3, 2)",-0.006443664882399986,-0.006443664882399986,0.03208436279482896,-0.006701980081076423,-0.006701980081076423,0.001979179897656044
X02299,"(3, 3)",0.04774444610400855,0.04774444610400855,0.12456717692722138,-0.018030862062005326,-0.018030862062005326,0.021708275395212695
X02299,"(3, 4)",-0.06196534426577496,-0.06196534426577496,0.014801654350895227,0.0388568255041999,0.0388568255041999,0.025294488682796743
X02299,"(4, 1)",-0.10311699951711059,-0.10311699951711059,0.10494862996373018,-0.05719587306689041,-0.05719587306689041,0.03522052690655423
X02299,"(4, 2)",-0.15021860965169956,-0.15021860965169956,0.06752794790224216,-0.1160651054750714,-0.1160651054750714,0.03699634440191504
X02299,"(4, 3)",-0.07785644413325124,-0.07785644413325124,0.045570585172278875,-0.037945603039891765,-0.037945603039891765,0.0029831303011936434
X02299,"(4, 4)",-0.05541199981895234,-0.05541199981895234,0.040523433495994216,0.001695412507450039,0.001695412507450039,0.006160112500021403
X48739,"(1, 1)",-0.0030986541220867046,-0.0030986541220867046,0.05968445851151666,0.01908194088504057,0.01908194088504057,0.01246974094432186
X48739,"(1, 2)",-0.04594873271454682,-0.04594873271454682,0.024137183094032136,-0.003725340031087397,-0.003725340031087397,0.06085123997181654
X48739,"(1, 3)",-0.008505117913738893,-0.008505117913738893,0.02317445984791688,0.015622857116146145,0.015622857116146145,0.022160542835730927
X48739,"(1, 4)",0.0398018755337983,0.0398018755337983,0.0205166512162127,0.051891116658225656,0.051891116658225656,0.021406666666734964
X48739,"(2, 1)",-0.04172121037467916,-0.04172121037467916,0.018408873952949427,-0.03059358247264754,-0.03059358247264754,0.005914492518058978
X48739,"(2, 2)",-0.04873944404653578,-0.04873944404653578,0.0101235111957764,0.006389614561663216,0.006389614561663216,0.024827352073366962
X48739,"(2, 3)",0.0691750771193751,0.0691750771193751,0.011020317500200535,0.1273798999997477,0.1273798999997477,0.016689149992695704
X48739,"(2, 4)",-0.06289878267410717,-0.06289878267410717,0.01721930773668176,-0.0004920438766324274,-0.0004920438766324274,0.017804516116545224
X48739,"(3, 1)",-0.1249068008045402,-0.1249068008045402,0.02394056303929217,-0.08180872497177916,-0.08180872497177916,0.006291125035204459
X48739,"(3, 2)",-0.1457942193183772,-0.1457942193183772,0.037233980126529814,-0.037275777077108316,-0.037275777077108316,0.019710939576422486
X48739,"(3, 3)",-0.028280859117895706,-0.028280859117895706,0.037228470413262306,0.03421648048686904,0.03421648048686904,0.008368762335498126
X48739,"(3, 4)",-0.1569443721321347,-0.1569443721321347,0.030151143473477054,-0.05019286963354153,-0.05019286963354153,0.00959580534600675
X48739,"(4, 1)",-0.0896003578247995,-0.0896003578247995,0.01698193021103963,-0.023309287539935514,-0.023309287539935514,0.008851612508199953
X48739,"(4, 2)",-0.10879795430313177,-0.10879795430313177,0.05755958880080551,-0.044702567457851984,-0.044702567457851984,0.015536777991255628
X48739,"(4, 3)",0.01618801237761793,0.01618801237761793,0.04014707878676945,0.05961213929695077,0.05961213929695077,0.00016156071214936535
X48739,"(4, 4)",-0.040806656006025226,-0.040806656006025226,0.014477562724783831,0.013993250592085088,0.013993250592085088,0.0016330077314272605
X13844,"(1, 1)",-0.13844864203734464,-0.13844864203734464,0.09446600632428032,-0.06518308005761356,-0.06518308005761356,0.22116916000377387
X13844,"(1, 2)",-0.0994685653621105,-0.0994685653621105,0.024204448491560976,0.11680426664081298,0.11680426664081298,0.06802533337484218
X13844,"(1, 3)",-0.016541400478767353,-0.016541400478767353,0.028996897538177708,0.18228952997596937,0.18228952997596937,0.03776650001527741
X13844,"(1, 4)",-0.05719576286169059,-0.05719576286169059,0.05721425391329141,0.07918408556277147,0.07918408556277147,0.02678603944234335
X13844,"(2, 1)",-0.23838846465231112,-0.23838846465231112,0.025671126459576532,-0.10059108002460562,-0.10059108002460562,0.06566627004067414
X13844,"(2, 2)",-0.21555941822030394,-0.21555941822030394,0.04683893046195588,-0.022216965682205877,-0.022216965682205877,0.012915155762207826
X13844,"(2, 3)",-0.10422532249677141,-0.10422532249677141,0.020666899169290757,0.10943547849132705,0.10943547849132705,0.048249166011777964
X13844,"(2, 4)",-0.07773717504637528,-0.07773717504637528,0.02002351479190564,0.10237427000247408,0.10237427000247408,0.02009861997503322
X13844,"(3, 1)",-0.1989728796163175,-0.1989728796163175,0.062218212549415064,-0.11023516997229307,-0.11023516997229307,0.05100512995850295
X13844,"(3, 2)",-0.2775245857603361,-0.2775245857603361,0.0019236201730452873,-0.13414205492161993,-0.13414205492161993,0.010256483563692777
X13844,"(3, 3)",-0.12395688487971576,-0.12395688487971576,0.034974050050323106,-0.003709840884601528,-0.003709840884601528,0.0054886136415668516
X13844,"(3, 4)",-0.11884826135719032,-0.11884826135719032,0.035730214846004145,0.08423031305070393,0.08423031305070393,0.06052246692482955
X13844,"(4, 1)",-0.33807738808662413,-0.33807738808662413,0.05728400810750131,-0.1294461541980701,-0.1294461541980701,0.04287098579255765
X13844,"(4, 2)",-0.20009405787147694,-0.20009405787147694,0.03124796421677624,0.061625172956458606,0.061625172956458606,0.05721896041844351
X13844,"(4, 3)",-0.18388588277397971,-0.18388588277397971,0.016519902588840854,0.03879250447757335,0.03879250447757335,0.043546584472318906
X13844,"(4, 4)",-0.15286843071235864,-0.15286843071235864,0.16352740675664543,-0.03487620666467896,-0.03487620666467896,0.2503767733850206
X33332,"(1, 1)",-0.1216551228141027,-0.1216551228141027,0.010791425971200426,-0.029825316683854908,-0.029825316683854908,0.005466083355713636
X33332,"(1, 2)",-0.03942394484496755,-0.03942394484496755,0.0037063752725742596,0.11339016252895817,0.11339016252895817,0.06062888749875128
X33332,"(1, 3)",-0.07009419987901752,-0.07009419987901752,0.002498220005015629,0.010585850017378107,0.010585850017378107,0.028815950005082414
X33332,"(1, 4)",-0.03456697697034466,-0.03456697697034466,0.029220833994549424,0.0703907166607678,0.0703907166607678,0.004249383346177638
X33332,"(2, 1)",-0.12939344507576794,-0.12939344507576794,0.020737963277532426,-0.030149721240741202,-0.030149721240741202,0.003417458754847759
X33332,"(2, 2)",-0.10251978854644699,-0.10251978854644699,0.04461304771095127,0.018578132842334786,0.018578132842334786,0.004503352888527192
X33332,"(2, 3)",-0.14619250205889975,-0.14619250205889975,0.0367461526312381,-0.05730472079691633,-0.05730472079691633,0.04536874579207507
X33332,"(2, 4)",-0.0867978370471821,-0.0867978370471821,0.09443021667128144,0.04719043571579581,0.04719043571579581,0.05084813570526118
X33332,"(3, 1)",-0.13966591088680047,-0.13966591088680047,0.04097062670283951,-0.0067686916251356415,-0.0067686916251356415,0.01274319167714566
X33332,"(3, 2)",-0.18242860256093285,-0.18242860256093285,0.05316465950849896,0.015991788900767766,0.015991788900767766,0.03673071115432928
X33332,"(3, 3)",-0.1468919599547847,-0.1468919599547847,0.020393358430039157,0.01350329999695532,0.01350329999695532,0.012473099991135921
X33332,"(3, 4)",-0.11219235275721841,-0.11219235275721841,0.028958163191181815,0.032298343726627834,0.032298343726627834,0.022692556235900458
X33332,"(4, 1)",-0.39532420855937134,-0.39532420855937134,0.05290043052605478,-0.09615762001485564,-0.09615762001485564,0.014797620003810151
X33332,"(4, 2)",-0.2557210263755714,-0.2557210263755714,0.02176818070081811,-0.008410443901966299,-0.008410443901966299,0.03137351062314613
