Subject,Run,Dict_Key,Acc_Diff_Mean,Acc_Diff_Median,Acc_Diff_Std,Box_Diff_Mean,Box_Diff_Median,Box_Diff_Std
X38547,1,"(4, 3)",-0.03081095508466079,-0.05233435020374874,0.13428041386085354,-0.00436800008174032,0.0019598498474806547,0.07669955835570333
X38547,1,"(4, 4)",0.11180771939693429,0.1111422798083026,0.18711998556590712,-0.05115357495378703,-0.00882085005287081,0.17049546823856154
X38547,2,"(1, 1)",0.02795108595875626,0.022049802505724247,0.18566057178380155,-0.0014323642909792916,-0.020988999982364476,0.12915705773602845
X38547,2,"(1, 2)",0.2545536346005884,0.12108843234886402,0.27197935741526114,0.0966043250518851,0.05646250012796372,0.12386309181791288
X38547,2,"(1, 3)",0.198344609348804,0.2608235457113056,0.163954652743186,0.11753196661205341,0.11950435000471771,0.13388032929298324
X38547,2,"(1, 4)",0.17899344161238634,0.16725000189318595,0.232722962100676,0.0035971333660806217,0.07738000003155321,0.179626786892185
X38547,2,"(2, 1)",-0.16150222769142403,-0.1648669531536357,0.0602806067722119,-0.1178632143419236,-0.13599790004082024,0.10241640143280999
X38547,2,"(2, 2)",-0.009200566821019465,-0.030445612143520984,0.09258679054951971,0.06398752506356686,0.06908339995425195,0.09260632561063943
X38547,2,"(2, 3)",-0.010965240099780693,-0.019205325935683137,0.08587510787548382,0.01596833993680775,0.03294340008869767,0.045444598913536964
X38547,2,"(2, 4)",-0.15142040910427076,-0.14910915379054032,0.08351128081834576,-0.04209680000453123,0.018965499941259623,0.1314720596292442
X38547,2,"(3, 1)",-0.007322162666113287,-0.04332586073013772,0.24111140187456884,-0.15088252862915397,-0.1626796000637114,0.04757046281774367
X38547,2,"(3, 2)",0.012956547445306436,0.11135263293654957,0.21106000214678464,-0.00494896659317116,-0.016386599862016737,0.04225009888435526
X38547,2,"(3, 3)",0.31734648370714447,0.32331914585196675,0.3988262531936406,0.13921087508788332,0.11794264998752624,0.05839363494219048
X38547,2,"(3, 4)",0.2499106493055001,0.26465125921116855,0.33640990414729344,-0.08424082503188401,-0.03403900004923344,0.14219574195826534
X38547,2,"(4, 1)",-0.14362111681425088,-0.33583211964032944,0.3179405861364082,-0.08010137998498976,-0.09794429992325604,0.1369210622399006
X38547,2,"(4, 2)",-0.0034902094594900096,-0.01932566401259858,0.19341720497972384,-0.005155375081812963,-0.06306275015231222,0.12619968495475833
X38547,2,"(4, 3)",0.0018468261646932664,-0.026375912735121382,0.19415133571726628,0.07359878183342516,0.08824330009520054,0.18301955346618026
X38547,2,"(4, 4)",0.03970893156120147,-0.06525670310147713,0.1853120726272771,0.03433236673784753,-0.04077900014817715,0.1471493599813625
X02299,1,"(1, 1)",-0.012231074486234172,-0.02771884899371918,0.024841324013116766,0.0042669333051890135,-0.016018700087442994,0.03312166711849871
X02299,1,"(1, 2)",0.02945950590869869,-0.06361478146586785,0.19395389490200232,-0.019991909090260215,-0.026879400247707963,0.043318673275389574
X02299,1,"(1, 3)",-0.0038752165733508884,-0.058891995708706374,0.1841044787041444,-0.04211186256725341,-0.04542900016531348,0.06813810343793661
X02299,1,"(1, 4)",0.06243032628183302,0.02786740880747779,0.10986263577307358,0.047420328516247015,0.020961199887096882,0.08332970003636092
X02299,1,"(2, 1)",-0.06610100720713513,-0.07220750311132143,0.08139270032886074,-0.014800929976627231,-0.013534250087104738,0.08180148498188931
X02299,1,"(2, 2)",-0.05262139247660207,-0.06212087248196535,0.05390364649737079,0.018822935725828365,0.023476399946957827,0.062449872281356476
X02299,1,"(2, 3)",-0.050997274264465056,-0.045837711552025207,0.06504356693661462,0.05648325999888281,0.024971700040623546,0.14080114067455593
X02299,1,"(2, 4)",0.005042661862898381,-9.551001391688851e-05,0.03521905356383166,0.06147876000031829,0.0668627000413835,0.03619411476078983
X02299,1,"(3, 1)",-0.06284848325066522,-0.05843661584886489,0.047408787389646684,0.019184025120921433,0.0180125500774011,0.021829209760503027
X02299,1,"(3, 2)",-0.038528027677228946,-0.08528418021230556,0.11655831760515319,-0.008681159978732467,-0.009919999982230365,0.07653214078882607
X02299,1,"(3, 3)",-0.07682273082321284,-0.0456700645021505,0.09125625711771171,0.003677413333207369,0.007042699959129095,0.06297823386382143
X02299,1,"(3, 4)",-0.047163689914879736,-0.0451926937961397,0.0885604028183604,0.013562336821403159,0.015519999898970127,0.07172634502641771
X02299,1,"(4, 1)",0.001831630446619586,-0.04712578179974203,0.10566299732437162,-0.02197534616033618,-0.04096279991790652,0.08826325212276807
X02299,1,"(4, 2)",-0.0826906617494574,-0.06663936674278183,0.13912782193815149,-0.07906876107315636,-0.05308105004951358,0.12092876392433805
X02299,1,"(4, 3)",-0.03228585896097236,-0.014097152767149679,0.11261164819391749,-0.034962472738698125,-0.02798140002414584,0.04466439351141597
X02299,1,"(4, 4)",-0.014888566322958126,-0.02407329456276558,0.10969050962890126,-0.0044646999925713644,-0.0059094002936035395,0.06677933014500446
X02299,2,"(1, 2)",-0.26818471062499233,-0.26818471062499233,0.1316954877519091,-0.0020478498190641403,-0.0020478498190641403,0.07808335009030998
X02299,2,"(1, 3)",,,,,,
